"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 08:20:15 GMT 2021","Tue Aug 24 08:20:15 GMT 2021","18","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_edit_post",""
"passed","Tue Aug 24 08:20:46 GMT 2021","Tue Aug 24 08:20:49 GMT 2021","3601","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"passed","Tue Aug 24 08:20:17 GMT 2021","Tue Aug 24 08:20:20 GMT 2021","3139","Selenium-Tests","test_creation_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 08:20:09 GMT 2021","Tue Aug 24 08:20:13 GMT 2021","3088","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 08:20:41 GMT 2021","Tue Aug 24 08:20:44 GMT 2021","3594","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
"broken","Tue Aug 24 08:20:21 GMT 2021","Tue Aug 24 08:20:21 GMT 2021","16","Selenium-Tests","test_creation_post","TestCreationPost","","","test_creation_new_post",""
"passed","Tue Aug 24 08:20:30 GMT 2021","Tue Aug 24 08:20:33 GMT 2021","2961","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"passed","Tue Aug 24 08:20:26 GMT 2021","Tue Aug 24 08:20:29 GMT 2021","3114","Selenium-Tests","test_edit_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:20:34 GMT 2021","Tue Aug 24 08:20:40 GMT 2021","6005","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"passed","Tue Aug 24 08:20:22 GMT 2021","Tue Aug 24 08:20:26 GMT 2021","3088","Selenium-Tests","test_delete_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:20:33 GMT 2021","Tue Aug 24 08:20:33 GMT 2021","0","Selenium-Tests","test_login_improper","TestLoginImproper","","","test_improper_login",""
"broken","Tue Aug 24 08:20:14 GMT 2021","Tue Aug 24 08:20:14 GMT 2021","16","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_creation_new_post",""
"passed","Tue Aug 24 08:20:05 GMT 2021","Tue Aug 24 08:20:09 GMT 2021","3997","Selenium-Tests","test_cookies","TestLogin","","","test_login",""
