"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 08:04:44 GMT 2021","Tue Aug 24 08:04:44 GMT 2021","16","Selenium-Tests","test_creation_post","TestCreationPost","","","test_creation_new_post",""
"passed","Tue Aug 24 08:04:49 GMT 2021","Tue Aug 24 08:04:52 GMT 2021","3119","Selenium-Tests","test_edit_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 08:04:45 GMT 2021","Tue Aug 24 08:04:48 GMT 2021","3160","Selenium-Tests","test_delete_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:04:58 GMT 2021","Tue Aug 24 08:05:01 GMT 2021","3219","Selenium-Tests","test_login_improper","TestLoginImproper","","","test_improper_login",""
"passed","Tue Aug 24 08:04:28 GMT 2021","Tue Aug 24 08:04:32 GMT 2021","4139","Selenium-Tests","test_cookies","TestLogin","","","test_login",""
"broken","Tue Aug 24 08:04:37 GMT 2021","Tue Aug 24 08:04:37 GMT 2021","18","Selenium-Tests","test_create_edit_post","TestCreateEditPost","","","test_creation_new_post",""
"broken","Tue Aug 24 08:05:02 GMT 2021","Tue Aug 24 08:05:08 GMT 2021","6033","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"broken","Tue Aug 24 08:04:38 GMT 2021","Tue Aug 24 08:04:38 GMT 2021","16","Selenium-Tests","test_create_edit_post","TestCreateEditPost","","","test_edit_post",""
"passed","Tue Aug 24 08:04:34 GMT 2021","Tue Aug 24 08:04:37 GMT 2021","3145","Selenium-Tests","test_create_edit_post","TestCreateEditPost","","","test_login",""
"passed","Tue Aug 24 08:05:10 GMT 2021","Tue Aug 24 08:05:13 GMT 2021","3627","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
"passed","Tue Aug 24 08:05:14 GMT 2021","Tue Aug 24 08:05:18 GMT 2021","3599","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"passed","Tue Aug 24 08:04:40 GMT 2021","Tue Aug 24 08:04:43 GMT 2021","3119","Selenium-Tests","test_creation_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 08:04:53 GMT 2021","Tue Aug 24 08:04:56 GMT 2021","3027","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
