"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 08:34:04 GMT 2021","Tue Aug 24 08:34:10 GMT 2021","6253","Selenium-Tests","test_cookies","TestLogin","","","test_login",""
"passed","Tue Aug 24 08:34:34 GMT 2021","Tue Aug 24 08:34:41 GMT 2021","6755","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"broken","Tue Aug 24 08:34:14 GMT 2021","Tue Aug 24 08:34:14 GMT 2021","18","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_creation_new_post",""
"broken","Tue Aug 24 08:34:21 GMT 2021","Tue Aug 24 08:34:25 GMT 2021","3455","Selenium-Tests","test_delete_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:34:34 GMT 2021","Tue Aug 24 08:34:34 GMT 2021","0","Selenium-Tests","test_login_improper","TestLoginImproper","","","test_improper_login",""
"passed","Tue Aug 24 08:34:41 GMT 2021","Tue Aug 24 08:34:45 GMT 2021","4089","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
"passed","Tue Aug 24 08:34:30 GMT 2021","Tue Aug 24 08:34:34 GMT 2021","3554","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"passed","Tue Aug 24 08:34:46 GMT 2021","Tue Aug 24 08:34:50 GMT 2021","4078","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"broken","Tue Aug 24 08:34:21 GMT 2021","Tue Aug 24 08:34:21 GMT 2021","19","Selenium-Tests","test_creation_post","TestCreationPost","","","test_creation_new_post",""
"passed","Tue Aug 24 08:34:26 GMT 2021","Tue Aug 24 08:34:30 GMT 2021","3664","Selenium-Tests","test_edit_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:34:16 GMT 2021","Tue Aug 24 08:34:20 GMT 2021","3503","Selenium-Tests","test_creation_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:34:16 GMT 2021","Tue Aug 24 08:34:16 GMT 2021","18","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_edit_post",""
"broken","Tue Aug 24 08:34:11 GMT 2021","Tue Aug 24 08:34:14 GMT 2021","3502","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_login",""
