"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 09:15:04 GMT 2021","Tue Aug 24 09:15:11 GMT 2021","6589","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"passed","Tue Aug 24 09:14:50 GMT 2021","Tue Aug 24 09:14:54 GMT 2021","3500","Selenium-Tests","test_edit_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 09:14:55 GMT 2021","Tue Aug 24 09:14:58 GMT 2021","3404","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"broken","Tue Aug 24 09:14:44 GMT 2021","Tue Aug 24 09:14:44 GMT 2021","13","Selenium-Tests","test_creation_post","TestCreationPost","","","test_creation_new_post",""
"broken","Tue Aug 24 09:14:59 GMT 2021","Tue Aug 24 09:15:03 GMT 2021","3649","Selenium-Tests","test_login_improper","TestLoginImproper","","","test_improper_login",""
"broken","Tue Aug 24 09:14:45 GMT 2021","Tue Aug 24 09:14:49 GMT 2021","3411","Selenium-Tests","test_delete_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 09:14:36 GMT 2021","Tue Aug 24 09:14:43 GMT 2021","6532","Selenium-Tests","test_creation_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 09:14:34 GMT 2021","Tue Aug 24 09:14:34 GMT 2021","13","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_creation_new_post",""
"broken","Tue Aug 24 09:14:30 GMT 2021","Tue Aug 24 09:14:33 GMT 2021","3415","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 09:14:25 GMT 2021","Tue Aug 24 09:14:30 GMT 2021","4579","Selenium-Tests","test_cookies","TestLogin","","","test_login",""
"passed","Tue Aug 24 09:15:15 GMT 2021","Tue Aug 24 09:15:20 GMT 2021","4028","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"broken","Tue Aug 24 09:14:35 GMT 2021","Tue Aug 24 09:14:35 GMT 2021","15","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_edit_post",""
"passed","Tue Aug 24 09:15:11 GMT 2021","Tue Aug 24 09:15:15 GMT 2021","4004","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
