"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 03 12:45:01 GMT 2021","Fri Sep 03 12:45:04 GMT 2021","3405","Selenium-Tests","test_delete_post","TestCreationPost","","","test_login",""
"passed","Fri Sep 03 12:45:04 GMT 2021","Fri Sep 03 12:45:08 GMT 2021","3526","Selenium-Tests","test_edit_post","TestCreationPost","","","test_login",""
"passed","Fri Sep 03 12:44:53 GMT 2021","Fri Sep 03 12:45:00 GMT 2021","6568","Selenium-Tests","test_creation_post","TestCreationPost","","","test_login",""
"broken","Fri Sep 03 12:44:52 GMT 2021","Fri Sep 03 12:44:52 GMT 2021","18","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_edit_post",""
"passed","Fri Sep 03 12:44:41 GMT 2021","Fri Sep 03 12:44:46 GMT 2021","4696","Selenium-Tests","test_cookies","TestLogin","","","test_login",""
"passed","Fri Sep 03 12:45:18 GMT 2021","Fri Sep 03 12:45:24 GMT 2021","6585","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"broken","Fri Sep 03 12:45:14 GMT 2021","Fri Sep 03 12:45:17 GMT 2021","3651","Selenium-Tests","test_login_improper","TestLoginImproper","","","test_improper_login",""
"passed","Fri Sep 03 12:45:31 GMT 2021","Fri Sep 03 12:45:35 GMT 2021","4017","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"broken","Fri Sep 03 12:44:47 GMT 2021","Fri Sep 03 12:44:50 GMT 2021","3502","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_login",""
"broken","Fri Sep 03 12:45:00 GMT 2021","Fri Sep 03 12:45:00 GMT 2021","15","Selenium-Tests","test_creation_post","TestCreationPost","","","test_creation_new_post",""
"passed","Fri Sep 03 12:45:26 GMT 2021","Fri Sep 03 12:45:30 GMT 2021","3998","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
"passed","Fri Sep 03 12:45:09 GMT 2021","Fri Sep 03 12:45:12 GMT 2021","3419","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"broken","Fri Sep 03 12:44:52 GMT 2021","Fri Sep 03 12:44:52 GMT 2021","15","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_creation_new_post",""
